partition,total_cpus
sched_system_all,77500
sched_opportunist,2060
sched_mit_twcronin,336
sched_mit_psfc,2848
sched_mit_psfc_short,128
sched_mit_psfc_serial,32
sched_mit_nse,864
sched_mit_emiliob,96
sched_any,112
sched_bu_rebbi,480
sched_bu_rebbi-gputest,16
sched_bu_moc,48
sched_engaging_default,480
sched_mit_hill,1252
sched_mit_darwin,368
sched_mit_darwin2,2720
sched_mit_redwine,480
sched_mit_hill-gputest,16
sched_17806,560
sched_neu_cooperman,480
Sched_Umass_Shenoy,480
sched_mit_wfrank,64
newnodes,696
sched_mit_sloan_interactive,1272
sched_mit_sloan_batch,2688
sched_mit_thesmar,56
sched_mit_g4nier,700
sched_mit_raffaele,180
sched_mit_chisholm,100
sched_mit_erl,984
sched_mit_rgmark,160
sched_mit_rutledge,280
sched_mit_hill_osg,640
sched_mit_hill_osg_autofstest,40
sched_mit_keating,104
sched_mit_ere,488
sched_mit_binz,308
sched_mit_binz_gpu,20
sched_mit_binz_long,28
sched_mit_juanes,96
sched_mit_housman,56
sched_mit_schuh,600
sched_mit_sloan_gpu,28
sched_mit_buehler,1280
sched_mit_buehler_gpu,144
sched_mit_trout,632
sched_mit_wvanrees,396
sched_mit_rafagb,4960
sched_mit_rafagb_amd,192
MIT-6.S198,336
mit-6345,224
sched_mit_rutledge_gpu,60
sched_mit_sloan_sinana,112
sched_mit_ase,2400
sched_mit_arupc,40
sched_mit_arupc_long,120
sched_mit_byildiz,384
sched_mit_camcat,52
sched_mit_byildiz_temp,160
sched_mit_econ,560
sched_mit_cburge,240
sched_mit_ccoley,180
sched_mit_mvogelsb,1024
sched_mit_mki,1088
sched_mit_mki_preempt,2624
sched_mit_lnecib,1024
sched_mit_andrewv,256
sched_mit_schuh_r8,384
sched_mit_kburdge_r8,1024
sched_mit_mki_r8,256
sched_mit_mki_preempt_r8,1320
sched_mit_psfc_r8,2304
sched_mit_psfc_gpu_r8,1792
sched_mit_fraenkel_r8,64
sched_mit_rodrigof_r8,512
sched_mit_arupc_r8,128
sched_mit_sloan_gpu_r8,160
sched_mit_sloan_interactive_r8,768
sched_mit_sloan_batch_r8,1792
sched_mit_jhewitt_r8,40
sched_mit_pog_r8,256
sched_mit_rafagb_r8,768
sched_mit_mhowland_r8,384
sched_mit_ejossou,384
sched_mit_emiliob_r8,768
sched_mit_nse_r8,2112
sched_mit_rteague,128
sched_mit_econ_r8,64
sched_mit_tsmidt,64
ou_bcs_high,256
ou_bcs_low,5088
ou_bcs_normal,3648
pi_faez,608
pi_srmadden,128
pi_mghassem,848
pi_abodner,448
pi_gaias,160
pi_raffaele,192
pi_mick,576
ou_sloan_batch,864
ou_sloan_gpu,312
ou_sloan_teaching,128
mit_normal,5120
mit_normal_gpu,5544
mit_quicktest,3072
mit_preemptable,20168
pi_cdrennan_gpu,96
pi_seager,1440
pi_ppliang,120
pi_linaresr,120
mit_data_transfer,128
pi_edboyden,192
ou_ki,1344
ou_ki_highmem,384
pi_ccoley,320
pi_keating,360
pi_ashia07,128
pi_laub,160
pi_jhm,352
pi_satra,384
pi_melkin,144
pi_dbertsim,96
pi_rahulmaz,96
pg_tata,1200
pi_mshoulde,192
pi_qmqi,96
pi_zhang_f,192
pi_oliva,384
pg_ibm,384
pi_mbathe,256
ou_mki,1792
ou_mki_gpu,256
ou_mki_preempt,2312
pi_lnecib,1024
pi_kburdge,1024
pi_andrewv,256
pi_jhewitt,40
pi_eilers,288
pi_ghoniem,192
pi_fiete,192
pi_tpoggio,192
pi_manoli,192
pi_psinha,128
pi_evelina9,192
pi_rakhlin,120
pi_lhtsai,128
pi_tami,256
pi_so3,96
pi_paris,32
mit_testing,512
ou_orcd_everything,74796
