partition,total_gpus
MIT-6.S198,23
Sched_Umass_Shenoy,16
mit-6345,15
mit_normal_gpu,316
mit_preemptable,1008
ou_bcs_high,8
ou_bcs_low,186
ou_bcs_normal,132
ou_cheme_gpu,40
ou_mki_gpu,8
ou_mki_preempt,26
ou_orcd_everything,1271
ou_sloan_gpu,20
ou_sloan_teaching,8
pg_ibm,32
pg_tata,76
pi_abodner,4
pi_ashia07,8
pi_ccoley,4
pi_cdrennan_gpu,6
pi_dbertsim,8
pi_dinaktbi,4
pi_donti_gpu,16
pi_edboyden,2
pi_evelina9,8
pi_faez,24
pi_fiete,8
pi_flavell,8
pi_fraenkel,4
pi_gaias,4
pi_gwli,4
pi_jhewitt,2
pi_jhm,20
pi_kburdge,16
pi_keating,16
pi_laub,4
pi_lauffen,6
pi_lhtsai,2
pi_linaresr,8
pi_manoli,8
pi_mbathe,16
pi_melkin,4
pi_mghassem,57
pi_mshoulde,14
pi_oliva,32
pi_paris,18
pi_ppliang,8
pi_psinha,6
pi_raffaele,8
pi_rahulmaz,8
pi_rakhlin,8
pi_rteague,2
pi_satra,12
pi_so3,6
pi_srmadden,4
pi_tpoggio,8
pi_tsmidt,4
sched_17806,18
sched_any,11
sched_bu_rebbi,16
sched_bu_rebbi-gputest,1
sched_engaging_default,16
sched_mit_binz_gpu,4
sched_mit_buehler_gpu,24
sched_mit_ccoley,8
sched_mit_darwin2,16
sched_mit_hill,23
sched_mit_hill-gputest,1
sched_mit_jhewitt_r8,2
sched_mit_kburdge_r8,16
sched_mit_mki_preempt_r8,26
sched_mit_mki_r8,8
sched_mit_psfc_gpu_r8,56
sched_mit_rafagb,72
sched_mit_rafagb_amd,24
sched_mit_redwine,16
sched_mit_rgmark,4
sched_mit_rutledge_gpu,12
sched_mit_sloan_gpu,4
sched_mit_sloan_gpu_r8,16
sched_mit_thesmar,4
sched_mit_trout,8
sched_mit_wfrank,8
sched_neu_cooperman,16
sched_opportunist,19
sched_system_all,1316
